TTEN,FETT,HRTT,CPTT,PTTT,TTET,ETDS,ETDR,ETLO,ETCP,ETPA,ETTE,ETCU,ETCD,ETPC,ETMC,ETTC,ETCC,ETUN,UNCH,UNID,UNTC,UNCP,UNCK,UNCV,UNCO,COCU,CONO,COTE,COBN,STTT,FPIN,FRIN,FPIC,FRIC,FPFC,FRFC,FPDE,FRDE,FPIT,FRIT,FPFT,FRFT
2424993,,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2425106,,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2425183,02/05/2016,,,6245,1081058,SILBRUMAR SRL,AV PERON 2868 0,MAR DEL PLATA,7600,AR,,30709804258,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2425184,02/05/2016,,,6245,1081058,SILBRUMAR SRL,AV PERON 2868 0,MAR DEL PLATA,7600,AR,,30709804258,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2425186,02/05/2016,,,6245,1081058,SILBRUMAR SRL,AV PERON 2868 0,MAR DEL PLATA,7600,AR,,30709804258,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2425188,02/05/2016,,,6245,1081058,SILBRUMAR SRL,AV PERON 2868 0,MAR DEL PLATA,7600,AR,,30709804258,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2425242,,,,6245,1081058,SILBRUMAR SRL,AV PERON 2868 0,MAR DEL PLATA,7600,AR,,30709804258,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2425245,02/05/2016,,,6245,1081058,SILBRUMAR SRL,AV PERON 2868 0,MAR DEL PLATA,7600,AR,,30709804258,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2425300,,,,6245,1081058,SILBRUMAR SRL,AV PERON 2868 0,MAR DEL PLATA,7600,AR,,30709804258,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2425303,02/07/2016,,,6201,1077334,AB LOGISTICA SA,RODRIGUEZ PENA 2411,MAIPU,5511,AR,,30705171218,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2425307,02/07/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2425308,02/07/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2425391,02/05/2016,,,6207,1079089,TRANSPORTES EDAR SA,LOS ANDES 1381,ESTEBAN ECHEVE,1839,AR,,30707480374,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2425393,,,,6100,1084916,CALICO SA,CALLAO AV PISO 14 DPTO B 661,CABA,1022,AR,,33596683679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2425552,,,,6202,1077920,EL PATAGONICO SA,HIPOLITO IRIGOYEN 4509,TRELEW,9100,AR,,30709860964,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2425554,02/07/2016,,,6203,1077920,EL PATAGONICO SA,HIPOLITO IRIGOYEN 4509,TRELEW,9100,AR,,30709860964,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2425555,02/05/2016,,,6204,1077920,EL PATAGONICO SA,HIPOLITO IRIGOYEN 4509,TRELEW,9100,AR,,30709860964,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2425556,02/05/2016,,,6211,1077758,CONGELADOS CENTRO SA,LAS MALVINAS 8847,CORDOBA,5012,AR,,30711764298,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2425558,02/05/2016,,,6211,1077758,CONGELADOS CENTRO SA,LAS MALVINAS 8847,CORDOBA,5012,AR,,30711764298,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2425601,02/05/2016,,,6210,1078744,PUERTO FRIO SRL,AV CIRCUMBALACION KM 1294 PQUE IND 0,SAN MIGUEL DE T,4000,AR,,30710644019,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2425609,02/05/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2425615,02/07/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2425676,02/07/2016,,,6100,1078852,SALERNO ADRIAN ALEJANDRO,SOLER 2677,MAR DEL PLATA,7600,AR,,20141624491,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2425678,,,,6100,1084916,CALICO SA,CALLAO AV PISO 14 DPTO B 661,CABA,1022,AR,,33596683679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2425689,02/05/2016,,,6100,1078852,SALERNO ADRIAN ALEJANDRO,SOLER 2677,MAR DEL PLATA,7600,AR,,20141624491,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2425700,,,,6100,1084916,CALICO SA,CALLAO AV PISO 14 DPTO B 661,CABA,1022,AR,,33596683679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2425701,02/05/2016,,,6207,1077920,EL PATAGONICO SA,HIPOLITO IRIGOYEN 4509,TRELEW,9100,AR,,30709860964,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2425702,,,,6100,1084916,CALICO SA,CALLAO AV PISO 14 DPTO B 661,CABA,1022,AR,,33596683679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2425705,02/05/2016,,,6207,1084459,TRANSCONT SRL,CARROZZI 110,COMODORO RIVADAVIA,9003,AR,,30661981632,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2425741,02/05/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2425742,02/05/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2425743,02/05/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2425744,02/05/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2425745,02/05/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2425746,02/05/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2425747,02/05/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2425748,02/07/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2425749,02/05/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2425750,02/07/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2425784,02/05/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2434284,,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2434355,,,,6100,1086265,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2434356,,,,6100,1086265,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2434417,02/10/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2434418,02/10/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2434430,02/10/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2434441,02/10/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2434686,02/10/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2434714,02/10/2016,,,6245,1081058,SILBRUMAR SRL,AV PERON 2868 0,MAR DEL PLATA,7600,AR,,30709804258,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2434716,02/10/2016,,,6201,1077334,AB LOGISTICA SA,RODRIGUEZ PENA 2411,MAIPU,5511,AR,,30705171218,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2434744,02/10/2016,,,6245,1081058,SILBRUMAR SRL,AV PERON 2868 0,MAR DEL PLATA,7600,AR,,30709804258,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2434746,02/10/2016,,,6245,1081058,SILBRUMAR SRL,AV PERON 2868 0,MAR DEL PLATA,7600,AR,,30709804258,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2434747,02/10/2016,,,6245,1081058,SILBRUMAR SRL,AV PERON 2868 0,MAR DEL PLATA,7600,AR,,30709804258,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2434751,02/10/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2434757,02/10/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2434837,02/10/2016,,,6207,1078532,MERLO DANIEL,MARCONI 1052,BECCAR,1643,AR,,20112991477,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2434945,02/10/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2434946,02/10/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2435025,02/12/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2435026,02/10/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2435027,02/10/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2435044,02/10/2016,,,6211,1077758,CONGELADOS CENTRO SA,LAS MALVINAS 8847,CORDOBA,5012,AR,,30711764298,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2435045,02/10/2016,,,6211,1077758,CONGELADOS CENTRO SA,LAS MALVINAS 8847,CORDOBA,5012,AR,,30711764298,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2435085,02/10/2016,,,6207,1084459,TRANSCONT SRL,CARROZZI 110,COMODORO RIVADAVIA,9003,AR,,30661981632,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2435086,02/10/2016,,,6207,1079089,TRANSPORTES EDAR SA,LOS ANDES 1381,ESTEBAN ECHEVE,1839,AR,,30707480374,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2435087,02/07/2016,,,6207,1079089,TRANSPORTES EDAR SA,LOS ANDES 1381,ESTEBAN ECHEVE,1839,AR,,30707480374,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2435092,02/10/2016,,,6204,1077920,EL PATAGONICO SA,HIPOLITO IRIGOYEN 4509,TRELEW,9100,AR,,30709860964,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2435093,02/09/2016,,,6203,1077920,EL PATAGONICO SA,HIPOLITO IRIGOYEN 4509,TRELEW,9100,AR,,30709860964,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2435095,02/10/2016,,,6202,1077920,EL PATAGONICO SA,HIPOLITO IRIGOYEN 4509,TRELEW,9100,AR,,30709860964,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2435144,02/10/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2435155,02/10/2016,,,6210,1078744,PUERTO FRIO SRL,AV CIRCUMBALACION KM 1294 PQUE IND 0,SAN MIGUEL DE T,4000,AR,,30710644019,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2435164,02/10/2016,,,6210,1078744,PUERTO FRIO SRL,AV CIRCUMBALACION KM 1294 PQUE IND 0,SAN MIGUEL DE T,4000,AR,,30710644019,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2435242,,,,6100,1084916,CALICO SA,CALLAO AV PISO 14 DPTO B 661,CABA,1022,AR,,33596683679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2437308,02/10/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2437330,02/11/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2437331,02/12/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2437332,02/10/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2437718,02/12/2016,,,6201,1077334,AB LOGISTICA SA,RODRIGUEZ PENA 2411,MAIPU,5511,AR,,30705171218,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2437748,02/12/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2437749,02/12/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2437791,02/11/2016,,,6245,1081058,SILBRUMAR SRL,AV PERON 2868 0,MAR DEL PLATA,7600,AR,,30709804258,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2437793,02/11/2016,,,6245,1081058,SILBRUMAR SRL,AV PERON 2868 0,MAR DEL PLATA,7600,AR,,30709804258,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2437810,02/11/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2437917,02/11/2016,,,6211,1077758,CONGELADOS CENTRO SA,LAS MALVINAS 8847,CORDOBA,5012,AR,,30711764298,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2437918,02/10/2016,,,6211,1077758,CONGELADOS CENTRO SA,LAS MALVINAS 8847,CORDOBA,5012,AR,,30711764298,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2437977,02/11/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2437978,02/11/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2438001,02/11/2016,,,6210,1078744,PUERTO FRIO SRL,AV CIRCUMBALACION KM 1294 PQUE IND 0,SAN MIGUEL DE T,4000,AR,,30710644019,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2438002,02/11/2016,,,6204,1077920,EL PATAGONICO SA,HIPOLITO IRIGOYEN 4509,TRELEW,9100,AR,,30709860964,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2438003,02/11/2016,,,6202,1077920,EL PATAGONICO SA,HIPOLITO IRIGOYEN 4509,TRELEW,9100,AR,,30709860964,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2438004,02/11/2016,,,6211,1077758,CONGELADOS CENTRO SA,LAS MALVINAS 8847,CORDOBA,5012,AR,,30711764298,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2438010,02/12/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2438016,02/11/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2438060,,,,6100,1084916,CALICO SA,CALLAO AV PISO 14 DPTO B 661,CABA,1022,AR,,33596683679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2438065,02/10/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2438066,02/11/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2438067,02/11/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2438068,02/11/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2438069,02/11/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2438070,02/11/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2438071,02/11/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2438075,02/11/2016,,,6207,1079145,AMERICOLD LOGISTICS ARGEN,AV CORDOBA 991,CAPITAL FEDERAL,1054,AR,,30628717679,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
2438088,02/11/2016,,,6211,1077758,CONGELADOS CENTRO SA,LAS MALVINAS 8847,CORDOBA,5012,AR,,30711764298,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,
